Do you agree to participate in this survey?  ,Which faculty are you from?,What is your current year of study?,"In your own words, what does sustainability mean to you as a university student?  ","What do you know about the Sustainable Development Goals (SDGs), if any?  ",What is your overall opinion on Universiti Malaya’s efforts toward sustainability and the SDGs?  ,How satisfied are you with UM’s sustainability initiatives?  ,Can you describe any sustainability-related practices you personally follow as a UM student (or explain why you do not)?  ,Have you ever participated in sustainability-related activities or programs at UM?  ,What challenges or difficulties do you think prevent UM students from practicing sustainability on campus?  ,What suggestions do you have to improve sustainability practices and awareness among UM students?  ,Do you have any additional comments or opinions related to sustainability or the SDGs at Universiti Malaya?  ,raw_text,clean_text,label_id,label,sdg_topics_multi,wc_text
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,minimizing waste and pollution,dont know much just saw the logo somewhere,honestly i dont see much happening,1,"i dont know if im doing anything sustainability related, i think no because everything i use is mostly plastic on campus",No,people just throw rubbish everywhere,cheaper prices for students who bring own container,nothing really,"minimizing waste and pollution dont know much just saw the logo somewhere honestly i dont see much happening i dont know if im doing anything sustainability related, i think no because everything i use is mostly plastic on campus people just throw rubbish everywhere cheaper prices for students who bring own container nothing really",minimizing waste and pollution dont know much just saw the logo somewhere honestly i dont see much happening i dont know if im doing anything sustainability related i think no because everything i use is mostly plastic on campus people just throw rubbish everywhere cheaper price for student who bring own container nothing really,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",minimizing waste pollution dont know just saw logo honestly dont happening dont know im doing sustainability related think use plastic campus people just throw rubbish cheaper price student bring container really
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,to me it means living a life where we minimize our carbon footprint n try not to create too much waste everyday,very familiar because i learnt it in one of my classes its about development covering different social and economic aspects,honestly it feels a bit superficial like they just do it for ranking but not really implementing in the campus,3,i walk to class every day instead of taking the bus or grab because its healthier and zero emission,Not sure,the weather in malaysia is too hot and humid so walking or cycling to class is really sweaty and uncomfortable,university should provide more water refill stations that are clean and well maintained in every faculty,please fix the air conditioning system it is way too cold in the library and lecture halls,to me it means living a life where we minimize our carbon footprint n try not to create too much waste everyday very familiar because i learnt it in one of my classes its about development covering different social and economic aspects honestly it feels a bit superficial like they just do it for ranking but not really implementing in the campus i walk to class every day instead of taking the bus or grab because its healthier and zero emission the weather in malaysia is too hot and humid so walking or cycling to class is really sweaty and uncomfortable university should provide more water refill stations that are clean and well maintained in every faculty please fix the air conditioning system it is way too cold in the library and lecture halls,to me it mean living a life where we minimize our carbon footprint n try not to create too much waste everyday very familiar because i learnt it in one of my class it about development covering different social and economic aspect honestly it feel a bit superficial like they just do it for ranking but not really implementing in the campus i walk to class every day instead of taking the bus or grab because it healthier and zero emission the weather in malaysia is too hot and humid so walking or cycling to class is really sweaty and uncomfortable university should provide more water refill station that are clean and well maintained in every faculty please fix the air conditioning system it is way too cold in the library and lecture hall,1,neutral,"['SDG 3: Good Health and Well-being', 'SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production', 'SDG 13: Climate Action']",mean living life minimize carbon footprint n try create waste everyday familiar learnt class development covering different social economic aspect honestly feel bit superficial like just ranking really implementing campus walk class day instead taking bus grab healthier zero emission weather malaysia hot humid walking cycling class really sweaty uncomfortable university provide water refill station clean maintained faculty fix air conditioning way cold library lecture hall
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,try to reuse things again and again instead of buying new ones all the time,not sure what it is actually maybe something about planting more trees,um is doing okay but i think they can do more to help students recycle,4,taking the bus to move around campus instead of driving my car,Not sure,food in cafe always give plastic spoon and fork even if we dont want,put more dustbin everywhere so easy to throw rubbish properly,please fix the bus thanks,try to reuse things again and again instead of buying new ones all the time not sure what it is actually maybe something about planting more trees um is doing okay but i think they can do more to help students recycle taking the bus to move around campus instead of driving my car food in cafe always give plastic spoon and fork even if we dont want put more dustbin everywhere so easy to throw rubbish properly please fix the bus thanks,try to reuse thing again and again instead of buying new one all the time not sure what it is actually maybe something about planting more tree um is doing okay but i think they can do more to help student recycle taking the bus to move around campus instead of driving my car food in cafe always give plastic spoon and fork even if we dont want put more dustbin everywhere so easy to throw rubbish properly please fix the bus thanks,2,positive,"['SDG 2: Zero Hunger', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",try reuse thing instead buying new time sure actually maybe planting tree um doing okay think help student recycle taking bus campus instead driving car food cafe plastic spoon fork dont want dustbin easy throw rubbish properly fix bus thanks
"Yes, I agree",Faculty of Law,Year 1,trying to live without making too much rubbish every day,i saw the logo before but i dont know what it means,they talk big but implementation is very slow,3,i try to print double sided for my assignments to save paper,No,students are always rushing so they just throw rubbish in the nearest bin without looking,maybe can give coupons or vouchers for students who bring their own food containers,please make the bus arrive on time thanks,trying to live without making too much rubbish every day i saw the logo before but i dont know what it means they talk big but implementation is very slow i try to print double sided for my assignments to save paper students are always rushing so they just throw rubbish in the nearest bin without looking maybe can give coupons or vouchers for students who bring their own food containers please make the bus arrive on time thanks,trying to live without making too much rubbish every day i saw the logo before but i dont know what it mean they talk big but implementation is very slow i try to print double sided for my assignment to save paper student are always rushing so they just throw rubbish in the nearest bin without looking maybe can give coupon or voucher for student who bring their own food container please make the bus arrive on time thanks,2,positive,"['SDG 4: Quality Education', 'SDG 11: Sustainable Cities and Communities']",trying live making rubbish day saw logo dont know mean talk big implementation slow try print double sided assignment save paper student rushing just throw rubbish nearest bin looking maybe coupon voucher student bring food container make bus arrive time thanks
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,keeping the environment clean and green for everyone,its about climate action and reducing inequality mostly,doing better than other universities i think,4,"i only use tablet for doing homework and assignments, no papers",No,"the bus are always full when i wanna go to class, i have to call grab everytime",more bus and more bus routes,i hope um can be the greenest campus in malaysia,"keeping the environment clean and green for everyone its about climate action and reducing inequality mostly doing better than other universities i think i only use tablet for doing homework and assignments, no papers the bus are always full when i wanna go to class, i have to call grab everytime more bus and more bus routes i hope um can be the greenest campus in malaysia",keeping the environment clean and green for everyone it about climate action and reducing inequality mostly doing better than other university i think i only use tablet for doing homework and assignment no paper the bus are always full when i wanna go to class i have to call grab everytime more bus and more bus route i hope um can be the greenest campus in malaysia,2,positive,"['SDG 5: Gender Equality', 'SDG 10: Reduced Inequalities', 'SDG 11: Sustainable Cities and Communities', 'SDG 13: Climate Action']",keeping environment clean green climate action reducing inequality doing better university think use tablet doing homework assignment paper bus wanna class grab everytime bus bus route hope um greenest campus malaysia
"Yes, I agree",Faculty of Law,Year 3,making sure the campus stays beautiful and not dirty,"my friend mention it before, but i dont remember",quite satisfied especially with the electric bus service,5,using public transport like lrt and bus to come to campus,Not sure,the weather is too hot to walk so everyone drives their car or takes grab to class,create a viral tiktok challenge about sustainability so more students will join,honestly i dont really care much but good luck,"making sure the campus stays beautiful and not dirty my friend mention it before, but i dont remember quite satisfied especially with the electric bus service using public transport like lrt and bus to come to campus the weather is too hot to walk so everyone drives their car or takes grab to class create a viral tiktok challenge about sustainability so more students will join honestly i dont really care much but good luck",making sure the campus stay beautiful and not dirty my friend mention it before but i dont remember quite satisfied especially with the electric bus service using public transport like lrt and bus to come to campus the weather is too hot to walk so everyone drive their car or take grab to class create a viral tiktok challenge about sustainability so more student will join honestly i dont really care much but good luck,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",making sure campus stay beautiful dirty friend mention dont remember quite satisfied especially electric bus service using public transport like lrt bus come campus weather hot walk drive car grab class create viral tiktok challenge sustainability student join honestly dont really care good luck
"Yes, I agree",Faculty of Creative Arts,Year 1,saving the planet one small step at a time i think,sustainably develop society to certain goals maybe,"um uses electric buses, so its good",4,i do not because im not really sure what counts as sustainable practices,No,people think it is not cool to carry tupperware around so they just buy food in plastic,stop selling mineral water bottles in campus and install more water coway machines,we need real action not just banners and posters,"saving the planet one small step at a time i think sustainably develop society to certain goals maybe um uses electric buses, so its good i do not because im not really sure what counts as sustainable practices people think it is not cool to carry tupperware around so they just buy food in plastic stop selling mineral water bottles in campus and install more water coway machines we need real action not just banners and posters",saving the planet one small step at a time i think sustainably develop society to certain goal maybe um us electric bus so it good i do not because im not really sure what count a sustainable practice people think it is not cool to carry tupperware around so they just buy food in plastic stop selling mineral water bottle in campus and install more water coway machine we need real action not just banner and poster,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",saving planet small step time think sustainably develop society certain goal maybe um electric bus good im really sure count sustainable practice people think cool carry tupperware just buy food plastic stop selling mineral water bottle campus install water coway machine need real action just banner poster
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,it means we use things carefully so we dont run out later,global goals for sustainable development by year 2030,good effort but need to maintain the facilities better,3,switching off lights when nobody is in my campus room,No,it is expensive to buy eco friendly products compared to cheap plastic stuff,improve the bus frequency especially during peak hours so we dont drive,sustainability is good but convenience is important too,it means we use things carefully so we dont run out later global goals for sustainable development by year 2030 good effort but need to maintain the facilities better switching off lights when nobody is in my campus room it is expensive to buy eco friendly products compared to cheap plastic stuff improve the bus frequency especially during peak hours so we dont drive sustainability is good but convenience is important too,it mean we use thing carefully so we dont run out later global goal for sustainable development by year 2030 good effort but need to maintain the facility better switching off light when nobody is in my campus room it is expensive to buy eco friendly product compared to cheap plastic stuff improve the bus frequency especially during peak hour so we dont drive sustainability is good but convenience is important too,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",mean use thing carefully dont run later global goal sustainable development year 2030 good effort need maintain facility better switching light campus room expensive buy eco friendly product compared cheap plastic stuff improve bus frequency especially peak hour dont drive sustainability good convenience important
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,protecting our earth from getting destroyed by humans,maybe something about recycling i am not sure,can be improved a lot especially waste management,2,i dont really do anything special just normal life,No,students are stressed with exams and assignments so sustainability is not their priority,have stricter rules for the cafeteria vendors to stop using plastic boxes,i support this initiative 100 percent,protecting our earth from getting destroyed by humans maybe something about recycling i am not sure can be improved a lot especially waste management i dont really do anything special just normal life students are stressed with exams and assignments so sustainability is not their priority have stricter rules for the cafeteria vendors to stop using plastic boxes i support this initiative 100 percent,protecting our earth from getting destroyed by human maybe something about recycling i am not sure can be improved a lot especially waste management i dont really do anything special just normal life student are stressed with exam and assignment so sustainability is not their priority have stricter rule for the cafeteria vendor to stop using plastic box i support this initiative 100 percent,2,positive,"['SDG 2: Zero Hunger', 'SDG 3: Good Health and Well-being', 'SDG 4: Quality Education', 'SDG 12: Responsible Consumption and Production']",protecting earth getting destroyed human maybe recycling sure improved lot especially waste management dont really special just normal life student stressed exam assignment sustainability priority stricter rule cafeteria vendor stop using plastic box support initiative 100 percent
"Yes, I agree",Faculty of Science,Year 1,balance between development and nature is what i think,i know its the 17 goals from un to save the world,good effort but still need to improve,4,avoid taking plastic bags from shops if i can carry it,No,peer pressure is real if your friends dont do it you feel weird doing it alone,show movies or documentaries about environment at the student center sometimes,please involve more students in the decision making,balance between development and nature is what i think i know its the 17 goals from un to save the world good effort but still need to improve avoid taking plastic bags from shops if i can carry it peer pressure is real if your friends dont do it you feel weird doing it alone show movies or documentaries about environment at the student center sometimes please involve more students in the decision making,balance between development and nature is what i think i know it the 17 goal from un to save the world good effort but still need to improve avoid taking plastic bag from shop if i can carry it peer pressure is real if your friend dont do it you feel weird doing it alone show movie or documentary about environment at the student center sometimes please involve more student in the decision making,2,positive,"['SDG 12: Responsible Consumption and Production', 'SDG 15: Life on Land']",balance development nature think know 17 goal save world good effort need improve avoid taking plastic bag shop carry peer pressure real friend dont feel weird doing movie documentary environment student center involve student decision making
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,saving the environment for future generation and for me it depends on the situation and available resources,its a framework for sustainable future for everyone and i try when possible but sometimes its inconvenient,pretty good actually i see many posters and im aware of this issue,4,i dont use straws when i drink and i understand the idea but dont always act on it,No,bus schedule is not reliable so people drive and i try when possible but sometimes its inconvenient,tell the cafe worker to use less plastic,maybe involve students more,saving the environment for future generation and for me it depends on the situation and available resources its a framework for sustainable future for everyone and i try when possible but sometimes its inconvenient pretty good actually i see many posters and im aware of this issue i dont use straws when i drink and i understand the idea but dont always act on it bus schedule is not reliable so people drive and i try when possible but sometimes its inconvenient tell the cafe worker to use less plastic maybe involve students more,saving the environment for future generation and for me it depends on the situation and available resource it a framework for sustainable future for everyone and i try when possible but sometimes it inconvenient pretty good actually i see many poster and im aware of this issue i dont use straw when i drink and i understand the idea but dont always act on it bus schedule is not reliable so people drive and i try when possible but sometimes it inconvenient tell the cafe worker to use less plastic maybe involve student more,2,positive,"['SDG 2: Zero Hunger', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",saving environment future generation depends situation available resource framework sustainable future try possible inconvenient pretty good actually poster im aware issue dont use straw drink understand idea dont act bus schedule reliable people drive try possible inconvenient tell cafe worker use plastic maybe involve student
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,basically trying not to use so much plastic and waste energy,oh i know the 17 icons we see on the website sometimes,honestly i think it is all just for show sometimes,3,i stopped using plastic straws completely since last year,No,finding a water dispenser is very annoying on campus,give us extra merit points for joining sustainability programs,please take this seriously and not just for ranking,basically trying not to use so much plastic and waste energy oh i know the 17 icons we see on the website sometimes honestly i think it is all just for show sometimes i stopped using plastic straws completely since last year finding a water dispenser is very annoying on campus give us extra merit points for joining sustainability programs please take this seriously and not just for ranking,basically trying not to use so much plastic and waste energy oh i know the 17 icon we see on the website sometimes honestly i think it is all just for show sometimes i stopped using plastic straw completely since last year finding a water dispenser is very annoying on campus give u extra merit point for joining sustainability program please take this seriously and not just for ranking,2,positive,"['SDG 6: Clean Water and Sanitation', 'SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",basically trying use plastic waste energy oh know 17 icon website honestly think just stopped using plastic straw completely year finding water dispenser annoying campus u extra merit point joining sustainability program seriously just ranking
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 3,for me sustainability is about not wasting things and thinking long term even in uni life ,i know sdgs are global goals by un to improve life and environment ,um sustainability efforts are average ,3,i try but sometimes forget or feel lazy ,No,lack of clear guidance from uni,make sustainability more visible on campus,students should be more proactive,for me sustainability is about not wasting things and thinking long term even in uni life  i know sdgs are global goals by un to improve life and environment  um sustainability efforts are average  i try but sometimes forget or feel lazy  lack of clear guidance from uni make sustainability more visible on campus students should be more proactive,for me sustainability is about not wasting thing and thinking long term even in uni life i know sdgs are global goal by un to improve life and environment um sustainability effort are average i try but sometimes forget or feel lazy lack of clear guidance from uni make sustainability more visible on campus student should be more proactive,2,positive,"['SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",sustainability wasting thing thinking long term uni life know sdgs global goal improve life environment um sustainability effort average try forget feel lazy lack clear guidance uni make sustainability visible campus student proactive
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,its about being aware how our actions affect environment and people,sdgs are international targets for sustainable future,overall um efforts are visible but not very strong,4,i walk or use public transport around campus,No,limited support and incentives,involve students in planning,overall its an important issue,its about being aware how our actions affect environment and people sdgs are international targets for sustainable future overall um efforts are visible but not very strong i walk or use public transport around campus limited support and incentives involve students in planning overall its an important issue,it about being aware how our action affect environment and people sdgs are international target for sustainable future overall um effort are visible but not very strong i walk or use public transport around campus limited support and incentive involve student in planning overall it an important issue,2,positive,['SDG 11: Sustainable Cities and Communities'],aware action affect environment people sdgs international target sustainable future overall um effort visible strong walk use public transport campus limited support incentive involve student planning overall important issue
"Yes, I agree",Faculty of Law,Year 3,it means planning and acting so resources dont run out,sdgs are 17 goals focusing on sustainability development,um is trying but still has room to improve,3,i recycle when possible but facilities are limited,Not sure,not enough facilities like recycling bins,give incentives or rewards,-,it means planning and acting so resources dont run out sdgs are 17 goals focusing on sustainability development um is trying but still has room to improve i recycle when possible but facilities are limited not enough facilities like recycling bins give incentives or rewards -,it mean planning and acting so resource dont run out sdgs are 17 goal focusing on sustainability development um is trying but still ha room to improve i recycle when possible but facility are limited not enough facility like recycling bin give incentive or reward,1,neutral,['SDG 12: Responsible Consumption and Production'],mean planning acting resource dont run sdgs 17 goal focusing sustainability development um trying ha room improve recycle possible facility limited facility like recycling bin incentive reward
"Yes, I agree",Faculty of Law,Year 3,i see sustainability as balance between study life environment and society,sdgs are about ending poverty protecting earth and ensuring peace,i feel like its not impactful,2,honestly i dont really think about it daily,No,people dont see immediate benefits,organize more student friendly events,small actions can make big difference,i see sustainability as balance between study life environment and society sdgs are about ending poverty protecting earth and ensuring peace i feel like its not impactful honestly i dont really think about it daily people dont see immediate benefits organize more student friendly events small actions can make big difference,i see sustainability a balance between study life environment and society sdgs are about ending poverty protecting earth and ensuring peace i feel like it not impactful honestly i dont really think about it daily people dont see immediate benefit organize more student friendly event small action can make big difference,2,positive,"['SDG 1: No Poverty', 'SDG 12: Responsible Consumption and Production']",sustainability balance study life environment society sdgs ending poverty protecting earth ensuring peace feel like impactful honestly dont really think daily people dont immediate benefit organize student friendly event small action make big difference
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,sustainability means living in a way that does not harm future generations,not very deep but i know sdgs guide countries and institutions,overall um efforts are visible but not very strong,4,i dont practice much because its inconvenient,No,students are busy with studies,improve facilities and infrastructure,nah,sustainability means living in a way that does not harm future generations not very deep but i know sdgs guide countries and institutions overall um efforts are visible but not very strong i dont practice much because its inconvenient students are busy with studies improve facilities and infrastructure nah,sustainability mean living in a way that doe not harm future generation not very deep but i know sdgs guide country and institution overall um effort are visible but not very strong i dont practice much because it inconvenient student are busy with study improve facility and infrastructure nah,2,positive,"['SDG 9: Industry, Innovation and Infrastructure', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",sustainability mean living way doe harm future generation deep know sdgs guide country institution overall um effort visible strong dont practice inconvenient student busy study improve facility infrastructure nah
"Yes, I agree",Faculty of Computer Science and Information Technology,Year 1,to me its small actions like reducing waste and saving energy on campus ,i know sdgs are global goals by un to improve life and environment,i feel um could be more proactive,3,sometimes i join clean up or green events,Yes,habits are hard to change,provide practical guidelines,hope to see improvements soon,to me its small actions like reducing waste and saving energy on campus  i know sdgs are global goals by un to improve life and environment i feel um could be more proactive sometimes i join clean up or green events habits are hard to change provide practical guidelines hope to see improvements soon,to me it small action like reducing waste and saving energy on campus i know sdgs are global goal by un to improve life and environment i feel um could be more proactive sometimes i join clean up or green event habit are hard to change provide practical guideline hope to see improvement soon,2,positive,"['SDG 7: Affordable and Clean Energy', 'SDG 11: Sustainable Cities and Communities', 'SDG 12: Responsible Consumption and Production']",small action like reducing waste saving energy campus know sdgs global goal improve life environment feel um proactive join clean green event habit hard change provide practical guideline hope improvement soon
